City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
292,Makakilo City,US,75.52,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
293,Ternate,ID,79.59,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
294,Nara,JP,74.48,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
296,Komsomolskiy,UZ,79.52,few clouds,40.4272,71.7189,Ikathouse
299,Rizhao,CN,73.44,light rain,35.4275,119.4553,Novotel Rizhao Suning
300,Kirakira,SB,78.13,broken clouds,-10.4544,161.9205,SanBiz Lodge
304,Pucallpa,PE,86.04,scattered clouds,-8.3791,-74.5539,Hospedaje Komby
305,Mbandaka,CD,80.58,scattered clouds,0.0487,18.2603,Guest House Epervier
308,Sinnamary,GF,77.88,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
309,Waycross,US,87.85,light rain,31.2136,-82.354,Super 8 by Wyndham Waycross GA
313,Shiyan,CN,72.7,light rain,32.6475,110.7781,Fenghuang Garden Holiday Hotel
315,Samarai,PG,78.21,broken clouds,-10.6167,150.6667,Nuli Sapi
317,Honiara,SB,76.69,broken clouds,-9.4333,159.95,Heritage Park Hotel
321,Muros,ES,81.23,clear sky,42.7762,-9.0603,Apartment Av. Castelao
325,Tshela,CD,82.04,overcast clouds,-4.9833,12.9333,Hotel Mirador
330,Matamoros,MX,83.1,few clouds,25.5333,-103.25,Quinta Belem
333,Garowe,SO,84.2,overcast clouds,8.4054,48.4845,Curubo Hotel
335,Bethel,US,79.81,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
336,Corinth,GR,86.63,clear sky,37.9407,22.9573,Ephira Hotel
339,Primero De Marzo,PY,76.91,clear sky,-25.153,-56.928,"RANCHO ""El Paraíso"""
341,Dunnville,CA,75.22,broken clouds,42.9001,-79.6163,Fishmasters Ultimate Charters
345,Sao Sebastiao,BR,73.29,clear sky,-23.76,-45.4097,Hotel Recanto dos Pássaros
347,Kankon,IN,78.46,overcast clouds,15.0167,74.0167,Palolem Beach Resort
348,Aras,ES,80.71,clear sky,42.5617,-2.356,Jardines de Viana Spa
350,Freeport,US,83.1,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
352,Namatanai,PG,78.85,light rain,-3.6667,152.4333,Seagulls Inn Namatani
354,Kiunga,PG,74.5,moderate rain,-6.1219,141.2906,Airport Lodge Kiunga
355,Bereda,ES,75.42,clear sky,43.2686,-7.5406,Pazo de Verdes
356,Aschersleben,DE,80.83,overcast clouds,51.75,11.4667,Hotel Weiße Taube
358,Shimoda,JP,71.73,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
361,Soma,TR,86.95,clear sky,39.1855,27.6094,Hotel Labella
362,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
366,Siuna,NI,84.76,broken clouds,13.7332,-84.7773,hotel los chinitos
367,Jian,CN,77.0,moderate rain,27.1172,114.9793,Luling International Hotel
371,Lasa,IT,85.91,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
372,Guasdualito,VE,82.2,broken clouds,7.2424,-70.7324,Hotel Cuibas
374,Luanda,AO,72.54,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
375,Asau,RO,85.75,broken clouds,46.4333,26.4,Casa Mika Ciobanus
378,Kahului,US,74.46,light rain,20.8947,-156.47,Maui Seaside Hotel
380,Tautira,PF,71.62,clear sky,-17.7333,-149.15,Pension Oaoa
381,Pozo Colorado,PY,84.96,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
385,Lyndon,US,75.65,overcast clouds,38.2567,-85.6016,SpringHill Suites by Marriott Louisville Hurstbourne/North
390,Thompson,CA,75.36,few clouds,55.7435,-97.8558,Burntwood Hotel
391,Shache,CN,74.61,overcast clouds,38.4167,77.2406,Delong Hotel
393,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
399,High Rock,BS,86.02,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
401,Voi,KE,71.35,broken clouds,-3.3945,38.563,Voi Wildlife Lodge
