City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
301,Valparaiso,CL,-33.0393,-71.6273,54.52,82,90,10.36,mist
302,Merauke,ID,-8.4667,140.3333,76.53,84,92,15.37,overcast clouds
303,Sitka,US,57.0531,-135.33,53.49,76,75,5.75,light rain
304,Pucallpa,PE,-8.3791,-74.5539,86.04,66,40,4.61,scattered clouds
305,Mbandaka,CD,0.0487,18.2603,80.58,56,45,1.9,scattered clouds
306,Nuuk,GL,64.1835,-51.7216,47.01,100,90,5.75,fog
307,Baherden,TM,38.4362,57.4316,80.83,12,0,7.2,clear sky
308,Sinnamary,GF,5.3833,-52.95,77.88,86,96,9.55,heavy intensity rain
309,Waycross,US,31.2136,-82.354,87.85,62,40,4.61,light rain
310,Gavle,SE,60.6745,17.1417,63.95,80,65,9.04,broken clouds
311,Zaterechnyy,RU,44.7931,45.2097,78.31,68,100,5.28,light rain
312,Yambio,SS,4.5721,28.3955,69.64,87,100,2.28,overcast clouds
313,Shiyan,CN,32.6475,110.7781,72.7,95,78,2.48,light rain
314,Kamaishi,JP,39.2667,141.8833,64.89,90,98,5.75,overcast clouds
315,Samarai,PG,-10.6167,150.6667,78.21,85,74,17.27,broken clouds
316,Abnub,EG,27.2696,31.1511,97.02,15,0,11.97,clear sky
317,Honiara,SB,-9.4333,159.95,76.69,89,61,5.57,broken clouds
318,Xilagani,GR,40.9833,25.4167,85.39,55,0,7.25,clear sky
319,Inhambane,MZ,-23.865,35.3833,66.18,77,75,0.0,broken clouds
320,Souillac,MU,-20.5167,57.5167,66.58,82,40,11.5,light rain
321,Muros,ES,42.7762,-9.0603,81.23,60,0,15.55,clear sky
322,Zapadnaya Dvina,RU,56.259,32.0745,62.22,84,98,4.79,overcast clouds
323,Yar-Sale,RU,66.8333,70.8333,54.91,69,98,19.13,overcast clouds
324,Aykhal,RU,66.0,111.5,51.71,86,100,3.22,overcast clouds
325,Tshela,CD,-4.9833,12.9333,82.04,60,86,5.93,overcast clouds
326,Nevelsk,RU,46.6733,141.8633,48.63,90,87,4.72,overcast clouds
327,Palafrugell,ES,41.9174,3.1631,95.07,87,13,1.01,few clouds
328,Ormond Beach,US,29.2858,-81.0559,91.17,59,40,11.5,scattered clouds
329,Doka,SD,13.5167,35.7667,76.08,84,100,5.86,overcast clouds
330,Matamoros,MX,25.5333,-103.25,83.1,45,20,0.0,few clouds
331,Verkhoyansk,RU,67.5447,133.385,47.91,78,100,3.27,overcast clouds
332,Lata,PT,40.1629,-8.3327,94.05,31,0,9.28,clear sky
333,Garowe,SO,8.4054,48.4845,84.2,41,98,19.98,overcast clouds
334,Tono,JP,39.3167,141.5333,60.01,95,75,1.95,broken clouds
335,Bethel,US,41.3712,-73.414,79.81,56,1,3.44,clear sky
336,Corinth,GR,37.9407,22.9573,86.63,34,0,4.38,clear sky
337,Moussoro,TD,13.6408,16.4901,88.11,49,78,6.42,broken clouds
338,Dudinka,RU,69.4058,86.1778,58.53,95,99,17.6,overcast clouds
339,Primero De Marzo,PY,-25.153,-56.928,76.91,33,1,1.43,clear sky
340,Northam,GB,51.0333,-4.2167,67.12,92,89,11.3,overcast clouds
341,Dunnville,CA,42.9001,-79.6163,75.22,48,74,8.59,broken clouds
342,New Plymouth,NZ,-39.0667,174.0833,44.31,86,96,10.6,overcast clouds
343,Filingue,NE,14.3521,3.3168,93.7,39,25,4.23,scattered clouds
344,Pocone,BR,-16.2567,-56.6228,101.25,17,1,1.07,clear sky
345,Sao Sebastiao,BR,-23.76,-45.4097,73.29,74,8,8.32,clear sky
346,Mahebourg,MU,-20.4081,57.7,66.49,82,40,11.5,scattered clouds
347,Kankon,IN,15.0167,74.0167,78.46,83,98,6.73,overcast clouds
