City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
114,Roma,US,2021-08-14 16:52:03,43.2128,-75.4557,77.9,65,75,8.05,broken clouds
115,Clyde River,CA,2021-08-14 16:54:15,70.4692,-68.5914,41.23,93,90,8.05,mist
116,Toba,JP,2021-08-14 16:54:16,34.4833,136.85,78.8,86,100,19.17,light rain
117,Dunedin,NZ,2021-08-14 16:54:16,-45.8742,170.5036,49.8,47,64,11.01,broken clouds
118,Kavieng,PG,2021-08-14 16:54:16,-2.5744,150.7967,82.78,77,42,15.95,scattered clouds
119,Smithers,CA,2021-08-14 16:51:03,54.7804,-127.1743,61.12,88,90,10.36,overcast clouds
120,Carnarvon,AU,2021-08-14 16:54:17,-24.8667,113.6333,59.07,40,0,11.5,clear sky
121,Kalmunai,LK,2021-08-14 16:54:17,7.4167,81.8167,81.79,81,94,4.68,overcast clouds
122,Iqaluit,CA,2021-08-14 16:54:17,63.7506,-68.5145,44.33,81,75,14.97,broken clouds
123,Acapulco,MX,2021-08-14 16:54:18,16.8634,-99.8901,85.82,63,45,3.0,scattered clouds
124,Angoche,MZ,2021-08-14 16:54:18,-16.2325,39.9086,73.63,74,2,10.33,clear sky
125,Chaumont,FR,2021-08-14 16:54:19,48.1167,5.1333,85.37,70,4,6.38,clear sky
126,Nelson Bay,AU,2021-08-14 16:54:19,-32.7167,152.15,53.96,95,0,5.75,clear sky
127,Kibaya,TZ,2021-08-14 16:54:19,-5.3,36.5667,63.23,52,41,10.02,scattered clouds
128,Klaksvik,FO,2021-08-14 16:54:20,62.2266,-6.589,50.92,95,100,13.67,overcast clouds
129,Pokhara,NP,2021-08-14 16:54:20,28.2333,83.9833,72.97,90,99,1.97,overcast clouds
130,Kieta,PG,2021-08-14 16:54:20,-6.2167,155.6333,79.12,84,100,6.13,overcast clouds
131,Mingguang,CN,2021-08-14 16:54:21,32.7802,117.9638,72.27,93,97,5.86,light rain
132,Achutupo,PA,2021-08-14 16:54:21,9.2,-77.9833,84.29,69,98,4.7,overcast clouds
133,Cabo San Lucas,MX,2021-08-14 16:50:00,22.8909,-109.9124,90.61,65,1,0.0,clear sky
134,New Norfolk,AU,2021-08-14 16:54:22,-42.7826,147.0587,52.72,66,67,3.0,broken clouds
135,Syumsi,RU,2021-08-14 16:54:22,57.1111,51.6149,63.77,70,100,3.18,light rain
136,Georgetown,MY,2021-08-14 16:54:22,5.4112,100.3354,82.33,90,20,3.44,few clouds
137,Ugoofaaru,MV,2021-08-14 16:54:23,5.6667,73.0,82.4,76,100,17.22,overcast clouds
138,Los Llanos De Aridane,ES,2021-08-14 16:54:23,28.6585,-17.9182,73.15,73,20,17.27,few clouds
139,Capreol,CA,2021-08-14 16:54:23,46.706,-80.9225,68.92,56,75,4.0,broken clouds
140,Saint-Pierre,RE,2021-08-14 16:54:24,-21.3393,55.4781,71.28,79,75,23.02,light rain
141,Labytnangi,RU,2021-08-14 16:54:24,66.6572,66.4183,65.26,77,89,14.97,overcast clouds
142,Kolpashevo,RU,2021-08-14 16:54:24,58.3131,82.9089,55.02,88,95,6.02,overcast clouds
143,East London,ZA,2021-08-14 16:54:25,-33.0153,27.9116,58.14,82,20,6.91,few clouds
144,Tazovskiy,RU,2021-08-14 16:54:25,67.4667,78.7,56.77,88,100,12.17,overcast clouds
145,Tiksi,RU,2021-08-14 16:54:25,71.6872,128.8694,40.57,83,92,6.31,overcast clouds
146,Severo-Kurilsk,RU,2021-08-14 16:54:26,50.6789,156.125,52.41,87,9,8.61,clear sky
147,Khasan,RU,2021-08-14 16:54:26,42.4308,130.6434,64.99,82,31,1.86,scattered clouds
148,Yinchuan,CN,2021-08-14 16:54:27,38.4681,106.2731,77.83,43,67,13.94,broken clouds
149,San Ramon,US,2021-08-14 16:51:27,37.7799,-121.978,80.38,69,1,3.44,clear sky
150,Saskylakh,RU,2021-08-14 16:54:27,71.9167,114.0833,51.78,63,100,4.65,overcast clouds
151,Abonnema,NG,2021-08-14 16:54:27,4.7084,6.7931,81.54,69,93,9.6,overcast clouds
152,Itoman,JP,2021-08-14 16:54:28,26.1247,127.6694,82.42,92,20,10.36,few clouds
153,Port Hedland,AU,2021-08-14 16:54:28,-20.3167,118.5667,68.05,45,90,5.75,overcast clouds
154,Bengkulu,ID,2021-08-14 16:54:28,-3.8004,102.2655,75.99,91,97,4.76,overcast clouds
155,Narasannapeta,IN,2021-08-14 16:54:29,18.4167,84.05,82.31,80,97,4.12,overcast clouds
156,Vanavara,RU,2021-08-14 16:54:29,60.34,102.2797,63.25,66,99,1.99,overcast clouds
157,Yellowknife,CA,2021-08-14 16:54:30,62.456,-114.3525,61.32,100,75,8.05,light rain
158,Sibolga,ID,2021-08-14 16:54:30,1.7427,98.7792,76.12,91,100,3.47,overcast clouds
159,Abu Samrah,SY,2021-08-14 16:54:30,35.3029,37.1841,84.72,42,0,14.16,clear sky
160,Hermanus,ZA,2021-08-14 16:54:31,-34.4187,19.2345,52.66,76,0,13.94,clear sky
161,Verkhoyansk,RU,2021-08-14 16:54:31,67.5447,133.385,42.53,88,100,4.03,overcast clouds
162,Redlands,US,2021-08-14 16:54:32,34.0556,-117.1825,97.93,38,5,3.6,clear sky
163,Camacari,BR,2021-08-14 16:54:32,-12.6975,-38.3242,78.57,68,55,10.09,broken clouds
164,Puerto Ayora,EC,2021-08-14 16:54:32,-0.7393,-90.3518,73.36,73,94,8.59,overcast clouds
165,Cayenne,GF,2021-08-14 16:54:33,4.9333,-52.3333,85.08,79,40,5.01,scattered clouds
166,Port Augusta,AU,2021-08-14 16:54:33,-32.5,137.7667,41.14,62,4,2.39,clear sky
167,Sakakah,SA,2021-08-14 16:54:34,29.9697,40.2064,99.97,15,0,11.95,clear sky
168,Portland,US,2021-08-14 16:50:20,45.5234,-122.6762,81.09,62,40,3.44,smoke
169,Arona,ES,2021-08-14 16:54:34,28.0996,-16.681,78.69,61,0,18.41,clear sky
170,Husavik,IS,2021-08-14 16:54:34,66.0449,-17.3389,57.11,87,97,7.85,overcast clouds
171,Port-Gentil,GA,2021-08-14 16:54:35,-0.7193,8.7815,82.36,74,20,13.8,few clouds
172,Calama,CL,2021-08-14 16:54:35,-22.4667,-68.9333,70.29,14,15,20.71,few clouds
173,Fria,GN,2021-08-14 16:54:35,10.4167,-13.5833,75.67,93,98,4.88,moderate rain
